Vulnerabilities,Artifacts,VUL_Functions
CVE-2013-4600,org.opencms:opencms-core:8.5.0,org.opencms.workplace.CmsDialog:dialogHead(java.lang.String);org.opencms.util.CmsStringUtil:escapeJavaScript(java.lang.String)
CVE-2018-3831,org.elasticsearch:elasticsearch:5.3.0,"org.elasticsearch.rest.action.admin.cluster.RestClusterGetSettingsAction:renderResponse(org.elasticsearch.cluster.ClusterState,boolean,org.elasticsearch.common.xcontent.XContentBuilder,org.elasticsearch.common.xcontent.ToXContent$Params);org.elasticsearch.rest.action.admin.cluster.RestClusterGetSettingsAction:prepareRequest(org.elasticsearch.rest.RestRequest,org.elasticsearch.client.node.NodeClient)"
CVE-2013-4310,org.apache.struts:struts2-core:2.1.8.1,"org.apache.struts2.dispatcher.mapper.DefaultActionMapper:handleSpecialParameters(javax.servlet.http.HttpServletRequest,org.apache.struts2.dispatcher.mapper.ActionMapping);org.apache.struts2.dispatcher.mapper.DefaultActionMapper:<init>()"
CVE-2018-1000615,org.onosproject:onos-ovsdb-rfc:1.6.0,"org.onosproject.ovsdb.rfc.utils.VersionUtil:versionCompare(java.lang.String,java.lang.String)"
CVE-2022-23596,com.github.junrar:junrar:0.7,com.github.junrar.Archive:readHeaders(long)
CVE-2021-39154,com.thoughtworks.xstream:xstream:1.4.11.1,"com.thoughtworks.xstream.XStream:unmarshal(com.thoughtworks.xstream.io.HierarchicalStreamReader,java.lang.Object,com.thoughtworks.xstream.converters.DataHolder);com.thoughtworks.xstream.XStream:setupSecurity();com.thoughtworks.xstream.XStream:setupDefaultSecurity(com.thoughtworks.xstream.XStream);com.thoughtworks.xstream.XStreamer:fromXML(com.thoughtworks.xstream.io.HierarchicalStreamDriver,java.io.Reader,com.thoughtworks.xstream.security.TypePermission[]);com.thoughtworks.xstream.XStreamer:toXML(com.thoughtworks.xstream.XStream,java.lang.Object,java.io.Writer);com.thoughtworks.xstream.XStream:readResolve();com.thoughtworks.xstream.XStream:addPermission(com.thoughtworks.xstream.security.TypePermission)"
CVE-2019-16943,com.fasterxml.jackson.core:jackson-databind:2.9.8,"com.fasterxml.jackson.databind.introspect.AnnotatedCreatorCollector:constructNonDefaultConstructor(com.fasterxml.jackson.databind.util.ClassUtil$Ctor,com.fasterxml.jackson.databind.util.ClassUtil$Ctor);com.fasterxml.jackson.databind.deser.impl.CreatorCollector:_isEnumValueOf(com.fasterxml.jackson.databind.introspect.AnnotatedWithParams);com.fasterxml.jackson.databind.deser.std.EnumSetDeserializer:<init>(com.fasterxml.jackson.databind.JavaType,com.fasterxml.jackson.databind.JsonDeserializer);com.fasterxml.jackson.databind.jsontype.impl.ClassNameIdResolver:_idFrom(java.lang.Object,java.lang.Class,com.fasterxml.jackson.databind.type.TypeFactory);com.fasterxml.jackson.databind.ser.std.BeanSerializerBase:createContextual(com.fasterxml.jackson.databind.SerializerProvider,com.fasterxml.jackson.databind.BeanProperty);com.fasterxml.jackson.databind.deser.BasicDeserializerFactory:createMapDeserializer(com.fasterxml.jackson.databind.DeserializationContext,com.fasterxml.jackson.databind.type.MapType,com.fasterxml.jackson.databind.BeanDescription);com.fasterxml.jackson.databind.JavaType:isEnumType();com.fasterxml.jackson.databind.deser.std.StdKeyDeserializer:deserializeKey(java.lang.String,com.fasterxml.jackson.databind.DeserializationContext)"
CVE-2012-0838,org.apache.struts.xwork:xwork-core:2.2.3,"com.opensymphony.xwork2.validator.validators.RepopulateConversionErrorFieldValidatorSupport:repopulateField(java.lang.Object);com.opensymphony.xwork2.validator.validators.RepopulateConversionErrorFieldValidatorSupport:setRepopulateField(java.lang.String);com.opensymphony.xwork2.validator.validators.RepopulateConversionErrorFieldValidatorSupport:validate(java.lang.Object);com.opensymphony.xwork2.interceptor.ConversionErrorInterceptor:getOverrideExpr(com.opensymphony.xwork2.ActionInvocation,java.lang.Object);com.opensymphony.xwork2.validator.validators.RepopulateConversionErrorFieldValidatorSupport:getRepopulateField();com.opensymphony.xwork2.validator.validators.RepopulateConversionErrorFieldValidatorSupport:doValidate(java.lang.Object)"
CVE-2020-26217,com.thoughtworks.xstream:xstream:1.4.13,com.thoughtworks.xstream.XStream:setupSecurity()
CVE-2020-24301,ca.uhn.hapi.fhir:hapi-fhir-testpage-overlay:5.0.2,"ca.uhn.fhir.to.BaseController:loadAndAddConfR4(javax.servlet.http.HttpServletRequest,ca.uhn.fhir.to.model.HomeRequest,org.springframework.ui.ModelMap);ca.uhn.fhir.to.Controller:doActionHistory(javax.servlet.http.HttpServletRequest,ca.uhn.fhir.to.model.HomeRequest,org.springframework.validation.BindingResult,org.springframework.ui.ModelMap,java.lang.String,java.lang.String);ca.uhn.fhir.to.BaseController:loadAndAddConfDstu2(javax.servlet.http.HttpServletRequest,ca.uhn.fhir.to.model.HomeRequest,org.springframework.ui.ModelMap);ca.uhn.fhir.to.BaseController:applyHeaderFilters(org.apache.http.Header[]);ca.uhn.fhir.to.Controller:actionSearch(javax.servlet.http.HttpServletRequest,ca.uhn.fhir.to.model.HomeRequest,org.springframework.validation.BindingResult,org.springframework.ui.ModelMap);ca.uhn.fhir.to.Controller:actionDelete(javax.servlet.http.HttpServletRequest,ca.uhn.fhir.to.model.HomeRequest,org.springframework.validation.BindingResult,org.springframework.ui.ModelMap);ca.uhn.fhir.to.Controller:actionRead(javax.servlet.http.HttpServletRequest,ca.uhn.fhir.to.model.HomeRequest,org.springframework.validation.BindingResult,org.springframework.ui.ModelMap);ca.uhn.fhir.to.Controller:handleSearchParam(java.lang.String,javax.servlet.http.HttpServletRequest,ca.uhn.fhir.rest.gclient.IQuery,com.google.gson.stream.JsonWriter);ca.uhn.fhir.to.BaseController:processAndAddLastClientInvocation(ca.uhn.fhir.rest.client.impl.GenericClient,ca.uhn.fhir.to.BaseController$ResultType,org.springframework.ui.ModelMap,long,java.lang.String,ca.uhn.fhir.to.BaseController$CaptureInterceptor,ca.uhn.fhir.to.model.HomeRequest);ca.uhn.fhir.to.BaseController:loadAndAddConfDstu3(javax.servlet.http.HttpServletRequest,ca.uhn.fhir.to.model.HomeRequest,org.springframework.ui.ModelMap);ca.uhn.fhir.to.Controller:doActionCreateOrValidate(javax.servlet.http.HttpServletRequest,ca.uhn.fhir.to.model.HomeRequest,org.springframework.validation.BindingResult,org.springframework.ui.ModelMap,java.lang.String);ca.uhn.fhir.to.BaseController:getResourceType(ca.uhn.fhir.to.model.HomeRequest,javax.servlet.http.HttpServletRequest);ca.uhn.fhir.to.BaseController:loadAndAddConfR5(javax.servlet.http.HttpServletRequest,ca.uhn.fhir.to.model.HomeRequest,org.springframework.ui.ModelMap);ca.uhn.fhir.to.Controller:actionPage(javax.servlet.http.HttpServletRequest,ca.uhn.fhir.to.model.HomeRequest,org.springframework.validation.BindingResult,org.springframework.ui.ModelMap)"
CVE-2021-37714,org.jsoup:jsoup:1.13.1,org.jsoup.parser.HtmlTreeBuilder:reconstructFormattingElements()
